,Количество комнат,Площадь,Этаж,Адрес,Цена в usd,Цена в kgs
558,1.0,33.0,5.0,"Бишкек,Кок-Жарм-н",59400.0,5103648.0
559,3.0,58.0,5.0,"Бишкек,Магистраль,Токомбаева29",82000.0,7045440.0
560,2.0,56.26,11.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",50634.0,4350473.0
561,2.0,100.0,11.0,"Бишкек,Советская-Скрябина,Медерова44/2/Жукеева-Пудовкина",119000.0,10224480.0
562,1.0,42.0,1.0,"Бишкек,Восток-5м-н,Мамбетова",60000.0,5155200.0
563,3.0,102.57,12.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",92313.0,7931533.0
564,3.0,125.0,11.0,"Бишкек,Магистраль,Куттубаева/Южн.Магистраль",205000.0,17613600.0
565,1.0,50.0,12.0,"Бишкек,Магистраль",62500.0,5370000.0
566,2.0,80.0,6.0,"Бишкек,Джал15м-н,Ахунбаева/Тыналиева",90900.0,7810128.0
567,1.0,35.0,2.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",61000.0,5241120.0
568,1.0,33.0,5.0,"Бишкек,10м-н,Токомбаева",59400.0,5103648.0
569,3.0,58.0,5.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",82000.0,7045440.0
570,2.0,68.0,3.0,"Бишкек,ПаркПанфилова/Спартак,Жибек-Жолу/Логвиненко",101257.0,8700000.0
571,1.0,45.4,14.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",55000.0,4725600.0
572,1.0,41.0,14.0,"Бишкек,ПаркАтатюрк",42500.0,3651600.0
573,2.0,58.0,7.0,"Бишкек,МолодаяГвардия,Фрунзе/бул.МолодойГвардии",82000.0,7045440.0
574,1.0,44.0,7.0,"Бишкек,Центральнаямечеть,Чуйкова1",66000.0,5670720.0
575,3.0,115.0,12.0,"Бишкек,КНУ,Фрунзе571/Уметалиева",98000.0,8420160.0
576,2.0,46.0,1.0,"Бишкек,Юбилейка",59000.0,5069280.0
577,1.0,45.39,14.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",53500.0,4596720.0
578,1.0,48.0,16.0,"Бишкек,Моссовет,боконбаева/советская",36000.0,3093120.0
579,3.0,99.6,3.0,"Бишкек,Магистраль,ул.Куттубаева,15",135000.0,11599200.0
580,3.0,93.0,7.0,"Бишкек,АкКеме,Джунусалиева/АжыбекБаатыра",159000.0,13661280.0
581,4.0,81.8,4.0,"Бишкек,Политех,г.Бишкек,ул.Целинная21(районПолитех)",119990.0,10309541.0
582,3.0,121.0,5.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",172000.0,14778240.0
583,4.0,145.0,3.0,"Бишкек,Вечерка,Абдрахманова/Туголбай-Ата",205000.0,17613600.0
584,2.0,70.0,6.0,"Бишкек,Шлагбаум,Интергельпо12",119000.0,10224480.0
585,3.0,152.0,13.0,"Бишкек,ВерхнийДжалм-н",220000.0,18902400.0
586,1.0,43.0,11.0,"Бишкек,Военторг,Сыдыкова64/Коенкозова",68000.0,5842560.0
587,3.0,120.0,1.0,"Бишкек,Магистраль,Куттубаева/ЮжнаяМагистраль",138000.0,11856960.0
588,3.0,132.0,13.0,"Бишкек,10м-н",165000.0,14176800.0
589,4.0,120.0,8.0,"Бишкек,АкКеме,Джунусалиева/АжыбекБаатыра",245000.0,21050400.0
590,2.0,78.0,15.0,"Бишкек,Магистраль,пр.Ч.Айтматова",113100.0,9717552.0
591,2.0,103.0,8.0,"Бишкек,Магистраль,ул.Куттубаева,15",108150.0,9292248.0
592,4.0,164.0,4.0,"Бишкек,Генпрокуратура",320000.0,27494400.0
593,4.0,164.0,4.0,"Бишкек,ПаркАтатюрк",320000.0,27494400.0
594,3.0,122.0,4.0,"Бишкек,Военторг,ТоголокМолдо/Токтогула",131760.0,11320819.0
595,2.0,80.0,5.0,"Бишкек,Магистраль,Б.Баатыра/А.Токомбаева",127000.0,10911840.0
596,3.0,87.0,2.0,"Бишкек,Магистраль,Сухэ-Батора/Токомбаева",140000.0,12028800.0
597,2.0,49.0,3.0,"Бишкек,Достукм-н",79000.0,6787680.0
598,2.0,44.0,8.0,"Бишкек,КНУ,Жумабека219/Шевченко",77000.0,6615840.0
599,4.0,157.0,10.0,"Бишкек,Золотойквадрат",164693.0,14150423.0
600,2.0,65.0,12.0,"Бишкек,11м-н,Куттубаева15",72000.0,6186240.0
601,3.0,144.0,8.0,"Бишкек,ВерхнийДжалм-н",115200.0,9897984.0
602,2.0,78.0,8.0,"Бишкек,Восток-5м-н,чуй/алматинка",111000.0,9537120.0
603,2.0,103.0,10.0,"Бишкек,Кок-Жарж/м,Молдокулова10/a3/Куйручук",113300.0,9734736.0
604,2.0,68.0,13.0,"Бишкек,Лебединовка,Кольбаева41/1",74120.0,6368390.0
605,3.0,126.0,9.0,"Бишкек,ВерхнийДжалм-н",207900.0,17862768.0
606,1.0,45.0,15.0,"Бишкек,Кок-Жарж/м,Шабдан-БаатыраиЧар.",50500.0,4338960.0
607,1.0,47.0,8.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",61500.0,5284080.0
608,3.0,152.0,3.0,"с.Манас,Школьная/Авиагородок",243200.0,20895744.0
609,2.0,57.0,9.0,"Бишкек,12м-н,масалиева",117000.0,10052640.0
611,2.0,78.0,1.0,"Бишкек,Магистраль,А.Токомбаева/А.Куттубаева",140000.0,12028800.0
612,4.0,181.0,9.0,"Бишкек,Центральнаямечеть",217200.0,18661824.0
613,2.0,103.0,8.0,"Бишкек,Дворецспорта,ул.Рыскулова/Коенкозова",103000.0,8849760.0
614,3.0,107.0,8.0,"Бишкек,Магистраль,ул.Токомбаева/Куттубаева",112350.0,9653112.0
615,2.0,68.0,6.0,"Бишкек,Магистраль,БайтикБаатыра/Токомбаева",88000.0,7560960.0
616,2.0,73.0,4.0,"Бишкек,Советская-Скрябина,Медерова44/2/Жукеева-Пудовкина",69000.0,5928480.0
617,2.0,50.0,5.0,"Бишкек,Советская-Скрябина,Медерова44/2/Жукеева-Пудовкина",62000.0,5327040.0
618,2.0,56.29,4.0,"Бишкек,Пишпекж/м",69500.0,5971440.0
619,1.0,37.0,8.0,"Бишкек,VEFA,Кулатова/Элебаева",53000.0,4553760.0
620,3.0,70.0,5.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",93000.0,7990560.0
621,2.0,70.0,4.0,"Бишкек,Кок-Жарм-н",93000.0,7990560.0
622,2.0,50.0,5.0,"Бишкек,Асанбайм-н,Токомбаева/Куттубаева",79000.0,6787680.0
623,3.0,105.0,10.0,"Бишкек,Магистраль,СухеБатора/ЮжнаяМагистраль",175000.0,15036000.0
624,3.0,100.0,10.0,"Бишкек,Магистраль,БайтикБаатыра(недалекоотЮжныхворот)",127000.0,10911840.0
625,2.0,50.0,5.0,"Бишкек,Кара-Жыгачж/м,Дордой",69000.0,5928480.0
626,2.0,72.0,2.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",95000.0,8162400.0
627,2.0,72.0,2.0,"Бишкек,Кызыл-Аскерж/м",95000.0,8162400.0
628,2.0,46.0,5.0,"Бишкек,Джал-29м-н,мкрнДжал-2916",64000.0,5498880.0
629,4.0,145.0,5.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",220000.0,18902400.0
630,2.0,72.0,2.0,"Бишкек,Джал-29м-н,мкрнДжал-2916",95000.0,8162400.0
